symbol,company_name,fy_from,fy_to,submission_date,revision_date,source_portal_url,source_api_url,pdf_url,xbrl_url,pdf_path,xbrl_path,pdf_bytes,xbrl_bytes,pdf_sha256,xbrl_sha256,downloaded_at_utc,status
APOLLOHOSP,Apollo Hospitals Enterprise Limited,2024,2025,07-Aug-2025,-,https://www.nseindia.com/companies-listing/corporate-filings-bussiness-sustainabilitiy-reports,https://www.nseindia.com/api/corporate-bussiness-sustainabilitiy?from_date=01-04-2025&to_date=31-03-2026,https://nsearchives.nseindia.com/corporate/APOLLOHOSP_07082025190409_brsr_2025.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1505848_07082025070808_WEB.xml,.data/corpus/nse-brsr/fy2024-25/APOLLOHOSP/brsr.pdf,.data/corpus/nse-brsr/fy2024-25/APOLLOHOSP/brsr.xml,473724,819583,a67f627ca6b9eeb55fc27b4aa0e7309fea42ed1c6442cab3f723df48ab312fa9,1e4144991dfef438505588593c64e8604ac0302ac45eee2e31f0034c1574d55b,2026-08-15T06:50:13+00:00,downloaded
ASIANPAINT,Asian Paints Limited,2024,2025,24-Jun-2025,-,https://www.nseindia.com/companies-listing/corporate-filings-bussiness-sustainabilitiy-reports,https://www.nseindia.com/api/corporate-bussiness-sustainabilitiy?from_date=01-04-2025&to_date=31-03-2026,https://nsearchives.nseindia.com/corporate/ASIANPAINT_24062025100951_BRSRIntimation03062025signed.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1470036_24062025101008_WEB.xml,.data/corpus/nse-brsr/fy2024-25/ASIANPAINT/brsr.pdf,.data/corpus/nse-brsr/fy2024-25/ASIANPAINT/brsr.xml,894263,938989,bf7cbc4476936fd6ccba23440ae25630787a8ea0305b64039522574c266a4b0c,f061771687da828e4af1e68b5b3bc4a925edfce4fc33f010950cf7f7071429bd,2026-08-15T06:50:13+00:00,downloaded
BAJFINANCE,Bajaj Finance Limited,2024,2025,02-Jul-2025,-,https://www.nseindia.com/companies-listing/corporate-filings-bussiness-sustainabilitiy-reports,https://www.nseindia.com/api/corporate-bussiness-sustainabilitiy?from_date=01-04-2025&to_date=31-03-2026,https://nsearchives.nseindia.com/corporate/BAJFINANCE_02072025000329_SE_BRSR_Upload.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1476138_02072025120411_WEB.xml,.data/corpus/nse-brsr/fy2024-25/BAJFINANCE/brsr.pdf,.data/corpus/nse-brsr/fy2024-25/BAJFINANCE/brsr.xml,1344082,888835,f743954e10a8b0f24390a6a4ffea594b5508a0ac2162397618c85e06b4eb258d,dfe178e56580f896e4a69dd62a606f0cbcb5a494b82d74e5c9aa620bfd2b3cca,2026-08-15T06:50:13+00:00,downloaded
BHARTIARTL,Bharti Airtel Limited,2024,2025,16-Jul-2025,-,https://www.nseindia.com/companies-listing/corporate-filings-bussiness-sustainabilitiy-reports,https://www.nseindia.com/api/corporate-bussiness-sustainabilitiy?from_date=01-04-2025&to_date=31-03-2026,https://nsearchives.nseindia.com/corporate/BHARTIARTL_16072025232215_BAL_STX_BRSR_FY24-25.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1484884_16072025112237_WEB.xml,.data/corpus/nse-brsr/fy2024-25/BHARTIARTL/brsr.pdf,.data/corpus/nse-brsr/fy2024-25/BHARTIARTL/brsr.xml,511800,1071166,3b57c244d1a17ef7ef02ca2c3dd45f877a0efee82c0fd29d2e3cd5895367475b,e5b71650b5eb3fd52f236dc1c3fca58f70963bf2fe60a8f57d0463f100130168,2026-08-15T06:50:13+00:00,downloaded
COALINDIA,COAL INDIA LIMITED,2024,2025,04-Aug-2025,-,https://www.nseindia.com/companies-listing/corporate-filings-bussiness-sustainabilitiy-reports,https://www.nseindia.com/api/corporate-bussiness-sustainabilitiy?from_date=01-04-2025&to_date=31-03-2026,https://nsearchives.nseindia.com/corporate/COALINDIA_04082025110405_BRSR2425.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1501398_04082025110417_WEB.xml,.data/corpus/nse-brsr/fy2024-25/COALINDIA/brsr.pdf,.data/corpus/nse-brsr/fy2024-25/COALINDIA/brsr.xml,919809,990517,d72cc97075dfc191255043dacf331e888cb4b777a802db2de7e705f6fc08c3fe,f040770144fed6fe2aa06d2e77677519a4349f450c1cc5b6bf8772ccbe35e981,2026-08-15T06:50:13+00:00,downloaded
DLF,DLF Limited,2024,2025,13-Jul-2025,-,https://www.nseindia.com/companies-listing/corporate-filings-bussiness-sustainabilitiy-reports,https://www.nseindia.com/api/corporate-bussiness-sustainabilitiy?from_date=01-04-2025&to_date=31-03-2026,https://nsearchives.nseindia.com/corporate/DLF_13072025094510_BRSR_Report.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1481723_13072025094535_WEB.xml,.data/corpus/nse-brsr/fy2024-25/DLF/brsr.pdf,.data/corpus/nse-brsr/fy2024-25/DLF/brsr.xml,708836,1055450,6024da574beba2ef0dbbc3d59242aa813b9913fca8499e31ba53b6a72715b975,d0c5b7301690a4ee284d950f2b6d7a327a626223b23a343cb8dbf9ff11994d89,2026-08-15T06:50:13+00:00,downloaded
HDFCBANK,HDFC Bank Limited,2024,2025,14-Jul-2025,-,https://www.nseindia.com/companies-listing/corporate-filings-bussiness-sustainabilitiy-reports,https://www.nseindia.com/api/corporate-bussiness-sustainabilitiy?from_date=01-04-2025&to_date=31-03-2026,https://nsearchives.nseindia.com/corporate/HDFCBANK_14072025080813_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1481748_14072025080910_WEB.xml,.data/corpus/nse-brsr/fy2024-25/HDFCBANK/brsr.pdf,.data/corpus/nse-brsr/fy2024-25/HDFCBANK/brsr.xml,35689311,859385,05d8b76c60fd1ea5cabf7e2cf8784c1f4b806b7aab9e46edcb572653e41c5ff1,9d65b59cb9c65b69cfc2b47687537e3e81b851a75b62e13368908ef9b4a4dc17,2026-08-15T06:50:13+00:00,downloaded
HINDUNILVR,Hindustan Unilever Limited,2024,2025,18-Jul-2025,-,https://www.nseindia.com/companies-listing/corporate-filings-bussiness-sustainabilitiy-reports,https://www.nseindia.com/api/corporate-bussiness-sustainabilitiy?from_date=01-04-2025&to_date=31-03-2026,https://nsearchives.nseindia.com/corporate/HINDUNILVR_18072025110703_BRSRPDF.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1486091_18072025110717_WEB.xml,.data/corpus/nse-brsr/fy2024-25/HINDUNILVR/brsr.pdf,.data/corpus/nse-brsr/fy2024-25/HINDUNILVR/brsr.xml,5101488,932422,3dfa03d2964e22540465e07cbd465d608e46455a0c1e72065d235404669e68e5,10966d6382a9925dcdff221aa26b56768141c3ec37c8022f5e20bcc8d1857adb,2026-08-15T06:50:13+00:00,downloaded
ICICIBANK,ICICI Bank Limited,2024,2025,05-Aug-2025,-,https://www.nseindia.com/companies-listing/corporate-filings-bussiness-sustainabilitiy-reports,https://www.nseindia.com/api/corporate-bussiness-sustainabilitiy?from_date=01-04-2025&to_date=31-03-2026,https://nsearchives.nseindia.com/corporate/ICICI2022_05082025202810_NSEBSEAnnualReport05082025.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1503412_05082025083000_WEB.xml,.data/corpus/nse-brsr/fy2024-25/ICICIBANK/brsr.pdf,.data/corpus/nse-brsr/fy2024-25/ICICIBANK/brsr.xml,22111202,831168,d02870ea5a9c2edbf2da21adacc4aaafdaab29016a047be764361231d951b9d9,ff34b8ac3f36fa2bf0af0e671b42501ddcac43dfd5a14d77190d4d405a3049e3,2026-08-15T06:50:13+00:00,downloaded
INFY,Infosys Limited,2024,2025,03-Jul-2025,-,https://www.nseindia.com/companies-listing/corporate-filings-bussiness-sustainabilitiy-reports,https://www.nseindia.com/api/corporate-bussiness-sustainabilitiy?from_date=01-04-2025&to_date=31-03-2026,https://nsearchives.nseindia.com/corporate/Infosys_03072025215225_Infosys_Integrated_Annual_Report_2024-25.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1477079_03072025095250_WEB.xml,.data/corpus/nse-brsr/fy2024-25/INFY/brsr.pdf,.data/corpus/nse-brsr/fy2024-25/INFY/brsr.xml,7563360,1082531,236c06edb758b61b5379319d09ca3a1141cf495cb99fa0564372bdefd21caf41,3d8459176a8af4e4d18e317ef70949570fb8079dc13bb6d251d66742fb518bcb,2026-08-15T06:50:13+00:00,downloaded
